Rank,AdvRollNo,InsCode,BranchCode
2,6077384,102,4110
3,6056020,102,4110
4,6092069,102,4110
5,2059334,102,4110
6,6038078,110,4110
7,1099527,102,4110
8,6091299,102,4110
9,1018467,102,4110
10,5044295,102,4110
11,5021237,102,4110
12,6082339,102,4110
13,1032053,102,4110
14,6037002,102,4110
15,3041195,102,4110
16,2022333,102,4110
17,1072753,102,4110
18,2063032,102,4110
19,7017231,102,4110
20,2058233,102,4110
21,2021562,102,4110
22,6038250,102,4110
23,6089322,102,4110
24,6039005,102,4110
25,2070337,102,4110
26,1072025,102,4110
27,1027540,102,4110
28,1074100,102,4110
29,7043110,104,4110
30,2044357,102,4110
31,2005022,102,4110
32,1018321,102,4110
33,6092383,102,4110
34,6039222,102,4110
35,2070283,102,4110
36,6060090,102,4110
37,2030261,102,4110
38,7018056,102,4110
40,1036088,102,4110
41,2033326,102,4110
42,7018036,102,4110
43,6085407,102,4110
44,6081157,102,4110
45,1094180,102,4110
46,2015516,102,4110
47,1078205,102,4110
48,7016102,102,4110
49,1072265,102,4110
50,7017347,102,4110
51,5002116,102,4110
52,1072757,102,4110
53,6100252,102,4110
54,2060292,102,4110
55,6059036,102,4110
56,1013135,102,4110
57,5002432,102,4110
58,4033132,102,4110
59,2044235,102,4110
60,7017291,102,4110
61,6025095,102,4110
65,3020119,104,4110
66,6012169,110,4110
67,1004444,104,4110
68,2025292,104,4110
69,7017396,104,4110
70,5002051,104,4110
71,5057065,104,4110
72,2013130,104,4110
74,1072486,104,4110
75,2067032,104,4110
76,1004408,104,4110
77,6087454,104,4110
78,7017489,104,4110
79,1027329,104,4110
81,1074360,104,4110
82,6079224,104,4110
83,1003179,104,4110
85,1078061,104,4110
86,6076339,104,4110
87,6040186,102,4110
88,1020070,104,4110
89,1101425,104,4110
90,2030185,104,4110
91,2013303,102,4110
92,7017530,104,4110
93,1030435,104,4110
94,1016037,104,4110
96,7016091,104,4110
97,1111098,104,4110
98,6041281,102,4110
99,2024275,104,4110
101,2069393,104,4110
102,6076438,104,4110
103,2048088,102,4111
104,6088007,102,4110
106,6062025,110,5602
107,2015429,109,4110
108,1074373,102,4111
109,7017082,109,4110
110,6036339,102,4110
111,1072156,102,4111
112,5035399,106,4110
113,6039137,110,4110
114,1101698,110,4110
115,7004255,109,4110
116,2070613,104,5216
117,6084407,110,4110
118,2070022,109,4110
119,6039209,110,4110
120,1072064,110,4110
121,2016298,104,5216
122,1100648,104,5216
123,1100339,110,4110
124,6097154,110,4110
127,6013100,110,4110
130,2069083,109,4110
131,5063265,104,5216
132,7044067,104,5216
133,1074494,110,4110
134,7018050,104,5216
136,1034101,109,4110
137,1036039,110,4110
138,2059233,110,4110
140,2053281,104,4124
141,1072413,102,4125
142,6037065,110,4110
143,6076249,110,4110
144,2023301,104,4124
145,5006189,109,4110
146,7012088,109,4110
147,2007036,104,5216
148,7014254,109,4110
149,7018090,110,4110
150,2026335,110,4110
151,2062069,109,4110
153,2048204,109,4110
154,6064277,102,4110
155,2039024,110,4110
156,6059320,110,4101
157,5003612,110,4110
158,2067137,102,4111
159,2013141,110,4110
160,2063116,110,4110
161,2033047,110,4110
163,1036093,110,4110
164,6061135,110,4110
165,1080245,102,4111
166,1102050,110,4110
167,6092056,110,4110
168,2068050,109,4110
169,2010139,104,5216
170,4007255,109,4110
172,2061273,109,4110
173,2041410,109,4110
174,2031025,104,5216
175,1073285,110,4110
176,2014384,104,5216
177,2055026,109,4110
179,6103066,102,4110
180,1003176,109,4110
181,2054053,109,4110
182,5002160,109,4110
183,1100406,109,4110
184,1085168,109,4110
185,6083389,106,4110
186,6079358,109,4110
187,1073491,102,4111
190,6060498,102,4111
193,3055063,109,4110
194,6037128,106,4110
196,2027065,104,5216
197,1100676,104,5216
198,2021004,102,4111
200,5020325,102,4117
202,2003242,104,4124
203,1003140,104,4124
204,1100645,109,4110
205,2032164,109,4110
207,5028457,106,4110
208,1075020,102,4111
209,2068139,109,4110
210,7017316,109,4110
211,7030619,109,4110
212,1014086,109,4110
213,2058165,109,4110
214,2031156,104,4124
215,4024121,109,4110
217,2067166,104,4124
218,1050011,102,4125
219,6025360,109,4110
221,6061250,109,4110
222,1103121,109,4110
224,4044270,109,4110
226,5024154,102,4111
227,1072841,102,4111
228,5023169,102,4111
229,2030038,109,4110
230,6039286,106,4110
231,6077425,109,4110
232,6084326,109,4110
233,2024401,102,4111
234,1013041,109,4110
235,6063350,102,4111
236,7017344,109,4110
237,2027385,109,4110
238,2067315,106,4110
239,1073235,102,4111
240,2014145,104,4124
243,2046014,104,4124
244,6091192,106,4110
245,6059206,106,4110
246,1034145,106,4110
247,7017285,102,4111
248,7017098,106,4110
249,2047229,106,4110
252,6047003,110,4111
253,3039088,106,4110
254,6030266,102,4111
255,6039283,106,4110
257,1099250,106,4110
258,5028102,102,4110
259,5020413,106,4110
260,7017259,106,4110
261,1093153,104,4124
265,2055135,104,4124
266,4037095,104,4124
268,2059386,106,4110
