Rank,AdvRollNo,InsCode,BranchCode
75,6035228,110,4110
76,1008165,104,4110
77,4021480,104,4110
79,6014030,110,4110
80,7040128,104,4110
81,6059046,110,4110
82,1111153,110,4110
83,6038207,110,4110
84,5050028,110,4110
85,2024425,104,4110
86,5048305,110,4110
87,5037302,104,4110
88,4002045,110,4110
89,6083308,106,4110
90,2058090,109,4110
91,6025153,109,4110
92,6059110,106,4110
94,2001219,104,4124
96,1089109,102,4110
97,6085363,102,4110
98,6036266,109,4110
99,6060350,102,4111
100,6090094,106,4110
101,6044210,109,4110
102,1027596,106,4110
103,3033039,109,4110
104,6099140,106,4110
105,7006447,109,4110
106,6082224,106,4110
107,6039205,104,5216
108,6041462,106,4110
109,6061356,102,4111
110,6104197,106,4110
111,1104041,109,4110
112,5047117,106,4110
113,1054081,104,5216
114,6077311,106,4110
115,6013143,109,4110
116,7027442,104,5216
117,1100537,102,4111
118,4021363,109,4110
119,4011234,102,4110
120,6029384,109,4110
121,6035088,106,4110
122,5048282,106,4110
123,6082067,106,4110
124,2059008,102,4111
125,7006168,109,4110
126,6019206,106,4110
127,6036281,106,4110
128,6039227,106,4110
129,2074214,109,4110
130,3003015,109,4110
131,1089017,109,4110
132,6077268,109,4110
134,1051027,109,4110
135,5046405,102,4110
136,6037006,102,4110
138,6077362,106,4110
139,2054480,104,4110
140,6036272,109,4110
141,2039440,109,4110
142,3041223,109,4110
143,2064443,104,4124
144,1053131,104,5216
146,1100656,109,4110
147,7006563,109,4110
148,5020194,104,5216
149,2064072,109,4110
150,6040032,109,4110
151,5045466,109,4110
152,6135135,109,4110
153,5019087,106,5216
154,2004024,109,4110
155,6090107,109,4110
156,5051154,113,4110
157,2046321,104,5216
158,1056437,102,4111
159,7016004,102,4111
160,5046382,113,4110
161,2061308,104,5216
162,6104028,110,4110
163,4012105,104,4124
164,4011239,104,4124
165,3025771,113,4110
166,4031263,104,4124
167,2030151,113,4110
168,6043034,104,4124
170,6098293,102,4111
171,2048469,113,4110
172,1098088,113,4110
173,3012054,102,4111
174,6138084,110,4110
175,3034040,113,4110
176,1085298,107,4110
179,6029104,113,4110
180,1040222,102,4111
181,5044314,113,4110
182,6076117,113,4110
183,4028317,104,4124
185,5045287,113,4110
186,5046231,113,4110
187,2074013,102,4111
188,5032201,104,4124
189,5045422,102,4111
190,6077433,113,4110
191,2072105,104,4124
192,6086339,104,4124
193,6090441,106,5216
196,2067167,113,4110
197,1099415,102,4111
198,6037154,113,4110
200,1099241,104,4124
201,6037339,110,4110
202,6041277,102,4111
203,5038019,113,4110
204,3028030,113,4110
206,3042158,113,4110
207,6034247,110,4110
208,4065051,113,4110
209,1016007,113,4110
210,6088494,102,4111
211,6013186,113,4110
212,2009212,104,4124
213,5045253,113,4110
214,3016173,117,4110
215,6041467,117,4110
216,3034074,104,4124
217,6060303,117,4110
218,7046082,116,4110
219,4054194,104,4111
220,6037295,107,4110
221,6081398,117,4110
222,6035094,104,4110
223,1080061,107,4110
224,6092030,107,4110
225,6083257,117,4110
226,2025289,104,4124
227,3030228,104,4124
228,2047035,104,4124
230,6016002,117,4110
231,3030225,117,4110
232,3031408,117,4110
233,4056027,104,4124
234,2073200,106,5216
235,5034229,106,4115
237,4028102,116,4110
238,6064071,117,4110
239,2073305,104,5254
240,6060330,110,4111
241,6015065,117,4110
243,2075053,104,4124
244,6038243,107,4110
246,1070191,107,4110
247,1091035,102,4111
248,1065229,117,4110
249,2002092,117,4110
250,5046296,106,4110
251,7034090,116,4110
252,6060041,110,4111
253,2053372,102,4111
254,4019289,104,5254
255,7002012,104,4111
256,4026095,102,4111
257,1055262,104,4110
258,2020104,104,4111
259,6061185,110,4111
260,6039006,107,4110
261,6023014,110,4111
262,3003325,117,4110
263,6092378,110,4111
264,6036145,107,4110
265,2074038,104,5254
266,2077243,104,4110
267,7011285,104,4111
268,2050263,116,4110
269,5060074,102,4111
270,6015037,117,4110
271,6059061,102,4111
272,2050104,106,5216
273,6038292,104,4111
274,5038036,117,4110
275,5005167,104,5254
276,2052059,104,4111
277,1102141,117,4110
278,1055282,107,4110
279,6039192,117,4110
280,6037157,104,4111
281,4012015,117,4110
282,6037425,117,4110
283,4027097,106,5216
285,4055109,109,4110
286,6100005,107,4110
287,3025682,117,4110
288,2043076,102,4111
289,6130183,107,4110
290,2044330,104,4111
291,6017416,107,4110
292,6088316,107,4110
293,6119045,109,4110
294,2064404,102,4111
295,1029180,117,4110
296,3026298,117,4110
297,6061312,110,4111
298,6038442,117,4110
299,2022326,104,4111
300,6019173,106,5216
301,6013142,106,4110
302,6135117,116,4110
303,3031048,106,5216
304,4004038,102,4111
305,6012164,116,4110
306,5051248,106,4115
307,1038123,104,4111
308,1077413,106,5216
309,7035200,109,4203
310,6131018,116,4110
311,4005175,116,4110
312,1003125,106,5216
313,5048304,116,4110
314,4022004,109,4110
315,6038024,116,4110
316,2055423,116,4110
317,4034134,106,5216
318,6064115,106,5216
319,6059168,110,4111
320,6090387,107,4110
321,6035165,106,4115
322,1108067,106,5216
323,2056091,106,4208
324,6081302,107,4185
325,1085408,106,4110
326,6040033,106,5216
327,2048425,109,4110
328,6081057,113,4181
329,7030138,104,5254
331,4052209,116,4110
332,3041025,117,4181
333,6035199,104,4111
334,5047052,107,4185
335,2014082,104,5254
337,2064314,104,4111
338,5046049,116,4110
339,4011121,117,4124
340,2064185,104,4111
341,6090103,106,4208
342,2075146,104,4111
343,4018432,104,4111
344,5011025,104,4111
345,6031019,105,4110
346,2070016,109,4110
347,2006235,104,4111
348,1101375,104,4111
349,2075014,104,4111
350,3022234,106,4115
351,6050024,102,5217
352,6037311,107,4185
353,5044261,106,4110
354,5050081,106,4115
355,4031373,116,4110
356,7035070,109,4111
357,5003225,102,4125
358,3040233,116,4110
