Rank,AdvRollNo,InsCode,BranchCode
1,6036441,102,4110
2,6041272,102,4110
3,3055244,102,4110
4,6086459,102,4110
5,7015072,102,4110
6,1080242,102,4110
7,6030426,102,4110
8,1079151,102,4110
9,3055302,102,4110
10,7016216,102,4110
12,7027108,102,4110
13,1053029,102,4110
14,2041041,102,4110
15,2054051,102,4110
16,7002212,104,4110
17,1077581,102,4110
18,2005207,104,4110
19,5046343,102,4110
20,1073227,102,4110
21,6060140,110,4110
22,5041201,102,4110
23,7011249,102,4110
24,1003161,104,4110
25,3053071,104,4110
26,2023073,104,4110
27,4002338,104,4110
28,2068273,104,4110
29,6038041,104,4110
30,2015216,104,4124
31,2061204,104,4110
32,2073282,104,4110
33,1034190,110,4110
34,2003418,104,4110
35,6082340,102,4111
36,6039068,110,4110
37,2041070,104,4124
38,2067369,109,4110
39,6135104,110,4110
41,6012189,110,4110
42,2019058,109,4110
43,7017207,102,4111
44,2014231,110,4110
45,6083190,110,4110
46,4032224,109,4110
47,5058169,106,4110
48,7013102,110,4110
49,1112053,110,4110
51,5004153,109,4110
52,7017331,110,4110
53,5062048,110,4110
54,6036381,110,4110
55,2009073,104,4110
56,2057268,102,4111
57,4019015,109,4110
58,6047254,107,4110
59,5033316,106,5216
60,5036052,106,4110
61,1081141,102,4111
62,6037119,106,4110
63,1099700,102,4110
64,3055111,106,4110
65,1065230,109,4110
66,2073235,109,4110
67,1003386,106,4110
68,7001016,102,4110
69,5029531,106,4110
70,2067127,102,4111
71,7027038,104,5216
72,2041553,104,5216
73,2033155,104,4111
74,6039046,104,5216
75,4033406,102,4110
76,5034028,106,4110
77,2069211,102,4110
78,6060338,106,4110
79,4033331,109,4110
80,1078288,104,5216
82,3053074,109,4110
83,7022014,104,4124
84,1092052,113,4110
85,5054002,106,4110
86,6033300,109,4110
88,1019026,109,4110
89,4003135,113,4110
91,7021201,113,4110
92,6025082,109,4110
93,5020408,109,4110
94,4041172,109,4110
95,2027453,106,5216
96,1071034,113,4110
98,1077439,113,4110
99,1101415,104,4124
100,5030414,102,4111
102,6020309,102,4111
103,5058359,102,4111
104,4037430,113,4110
105,6038012,113,4110
106,4059032,104,4124
107,6076243,102,4110
108,5007054,104,4124
109,1101321,113,4110
110,1101433,107,4110
111,4028176,104,5254
112,1079030,107,4110
113,2034081,117,4110
114,6087241,102,4111
115,6089404,104,4110
116,5034206,113,4110
117,2019185,113,4110
118,3035164,106,5216
119,4002373,104,4124
120,4031161,109,4111
121,3003199,106,5216
122,6039117,113,4110
123,1077629,113,4110
124,2002074,104,4111
126,6055204,102,4111
127,2064238,102,4111
128,7040070,116,4110
129,7042052,117,4110
130,5035038,104,4110
131,5008144,106,4110
132,2060274,104,4111
133,1089455,102,4111
134,1040162,117,4110
135,2058209,102,4111
136,5029470,106,5216
137,3003646,117,4110
138,1101103,102,5217
139,2055388,106,5216
140,6076481,107,4110
141,4053142,104,4111
142,1099511,102,4125
143,1035114,106,5216
144,5028477,106,4115
145,4005408,109,4110
146,2059198,104,4124
147,6031026,106,4110
148,5033370,106,4115
149,7004037,104,4124
150,4033031,104,4124
151,1100547,117,4110
153,3030003,117,4110
154,2072092,117,4110
155,5028565,104,4124
156,6030215,107,4110
157,6077201,104,4111
158,1103058,117,4110
159,5029580,117,4110
160,7042014,117,4110
161,2053003,102,4125
162,3003255,106,4115
163,1025143,104,4111
164,1056221,107,4110
165,1028181,104,5254
166,1118077,104,4111
167,4001455,117,4110
168,5030060,106,4115
169,1074278,102,4125
170,6118068,116,4110
171,4018060,116,4110
172,1068170,102,4125
173,2067300,117,4110
174,7045113,117,4110
175,7021151,117,4110
176,4005432,105,4110
177,6117019,116,4110
178,4030012,109,4111
180,7047052,104,5254
181,6079359,107,4185
182,1100218,116,4110
183,7045406,104,5254
184,1100710,116,4110
185,1004166,111,4110
186,1072758,110,4111
187,4008364,116,4110
188,1073523,102,4125
189,6037197,109,4110
190,2011373,104,4111
191,1073502,105,4110
192,6008073,110,4111
193,7037262,102,5217
194,1094162,105,4110
196,2017128,113,4181
197,1102044,102,4125
198,6040178,110,4111
199,1101203,104,4111
200,6047056,107,4124
201,5030271,106,4115
202,5007032,106,4115
203,6083272,116,4110
204,7048110,104,4111
205,1027032,110,4111
206,4023176,116,4110
207,1031053,117,4124
208,6063036,107,4185
209,2054279,104,4111
210,5002437,104,4111
211,2016177,102,5217
212,5033237,116,4110
213,7006549,113,4181
214,2065195,102,4125
215,5029090,116,4110
216,6098089,107,4185
217,1099664,104,4111
218,1101626,116,4110
219,4061158,102,5217
220,2073365,104,4111
221,6063408,110,4111
222,1049131,105,4110
223,1072292,104,4192
224,2061241,113,4114
225,3003633,102,5217
226,2070028,110,4111
227,5025181,106,4115
228,7044237,104,4107
229,2021016,113,4181
230,2008054,104,4112
231,7028204,115,4110
232,5002329,106,4115
233,2061007,104,4112
234,1019172,102,4125
235,3031254,102,5217
236,1004073,113,4114
237,7017322,117,4181
238,2008044,113,4114
239,4013114,105,4110
240,5004041,106,4109
241,1012097,102,4125
242,1101586,116,5216
243,6036337,106,4115
244,3055230,102,5217
245,4030085,106,4115
246,4011224,102,5217
247,2065126,104,4112
248,5037234,104,4112
249,7033172,102,5217
250,5036110,106,4208
251,1030175,106,4115
252,7014054,115,4110
253,7006201,102,4109
254,4030433,109,4111
255,2024048,104,4112
256,4030452,109,4111
257,1100161,113,4114
258,1035107,105,4110
259,6064091,110,4125
260,5061134,104,4125
261,1020209,105,4110
262,7023014,105,4110
263,4019089,105,4110
264,2058221,109,4111
265,7045086,116,5216
266,2053075,116,5216
267,4007196,102,5217
268,1030305,117,4181
269,1004396,104,4125
270,2060482,105,4110
271,1024022,111,4110
272,6100152,110,4111
273,1099645,113,4114
275,4044028,102,4101
276,6100233,113,4181
277,2013189,104,4112
278,4034119,109,4111
279,6091415,116,5216
280,6038061,101,4110
281,6115253,101,4110
282,1027511,117,4124
283,2014335,109,4110
284,6086261,111,4110
285,7010619,102,4125
286,6133086,112,4110
287,7044094,109,4111
288,2072047,113,4181
289,5028060,106,5225
290,2071223,108,4110
292,7043428,113,4111
293,1034193,113,4114
294,6078446,110,4111
295,1094253,114,4110
296,7033351,104,4112
297,6063423,110,4111
298,7037228,113,4114
299,2064199,104,4192
300,3003033,104,4112
301,4059438,102,4125
302,1074357,102,4125
303,2043155,102,5217
304,6036045,110,4111
305,6078276,104,5216
306,7017263,115,4110
307,2073191,109,4111
308,7027418,113,4114
309,7043018,113,4114
310,2075072,102,4125
311,5030521,106,4111
312,4018359,102,4125
313,1015037,110,4111
314,5058158,102,4125
315,2015321,117,4181
316,6134175,110,4111
317,4031165,109,4111
318,2027082,117,4181
321,4007258,102,4125
322,7043266,113,4114
323,6084023,109,4110
324,2045049,109,4111
325,1034110,113,4114
326,1099199,102,4125
327,1080191,111,4110
328,5028383,106,4208
329,1019207,102,4125
330,6100171,101,4110
331,1030177,113,4114
332,7024203,111,4110
333,6086280,101,4110
334,4046076,109,4111
