Rank,AdvRollNo,InsCode,BranchCode
1,2057047,102,4110
2,2070565,102,4110
3,6016042,102,4110
4,6090048,102,4110
5,1033073,102,4110
6,6082121,102,4110
7,5058196,102,4110
8,6122065,102,4110
9,5058102,102,4110
10,5062335,104,4110
11,6086034,102,4110
12,2041495,104,4111
13,2055065,104,4110
14,2067285,109,4110
15,2062207,113,4110
16,4031169,104,4110
17,6094074,104,4110
18,2076226,104,4110
19,2030025,110,4110
21,6091303,110,4110
22,6037432,110,4110
23,6088232,110,4110
24,1018228,110,4110
25,6037178,109,4110
26,3024703,102,4125
27,2054079,109,4110
28,2043223,102,4111
29,6100181,106,4110
30,6079232,109,4110
31,2070512,104,4109
32,4036226,104,4124
33,2069260,109,4110
34,6090084,106,4110
35,6092206,106,4110
36,1027695,109,4110
37,6092081,106,4110
38,2070046,104,4111
39,6076485,106,4110
40,2070092,104,4111
41,6134078,109,4110
42,6083231,107,4110
43,6076241,109,4110
44,6076254,113,4110
45,1027626,107,4110
46,1031098,104,5216
47,6076494,113,4110
48,5030112,106,4127
49,6034217,104,5216
50,5041199,106,5216
51,2001432,104,4109
52,6079273,107,4110
53,6099156,113,4110
54,6076482,102,4110
55,2070587,102,4110
56,6016031,113,4110
57,2031239,102,4125
58,6133036,104,4110
59,6083129,113,4110
60,5039168,113,4110
61,6037102,107,4110
62,1100612,117,4110
63,1074215,102,4111
65,1099256,106,5216
66,3049037,117,4110
67,6079347,106,4115
68,7022030,104,4124
69,6037436,117,4110
70,5046392,110,4111
71,6093204,117,4110
72,2070381,102,4109
73,2056332,117,4110
74,4008039,117,4110
75,2072122,102,4111
76,6115105,116,4110
77,6094032,117,4110
78,1065203,102,4111
79,5043088,106,5216
80,6122116,110,4110
81,3002121,104,4124
82,6084066,107,4185
83,2067143,116,4110
84,6116110,105,4110
85,4001368,104,4124
86,6101106,107,4110
87,6083201,110,4110
88,2044088,116,4110
89,4012176,105,4110
90,2064092,104,4109
91,6076163,117,4124
92,6036278,104,4110
93,1087002,102,4109
94,5009141,105,4110
95,6092064,107,4185
96,7021179,104,4124
97,2073359,104,4109
98,6084371,106,4208
99,5030470,104,5254
100,6118202,102,4111
101,2028136,104,4111
102,5048132,102,4111
103,6036426,113,4181
104,2062282,104,4111
105,2012164,102,5217
106,6076211,113,4114
107,6087383,116,4110
108,6115264,110,4111
109,2053214,116,4110
111,6037403,110,4111
112,2020026,104,4111
113,2070201,104,4111
114,6084454,104,4111
115,2044113,104,4112
116,5004392,104,5254
117,1090011,105,4110
118,5028599,106,4115
119,6078157,116,4110
120,5032076,106,4105
121,6090492,116,4110
122,4005176,105,4110
123,6100147,114,4110
124,2067181,113,4114
125,6100187,113,4114
126,1022041,111,4110
127,6025428,111,4110
128,2036036,113,4110
130,7021055,113,4181
131,3003386,117,4124
132,2074069,109,4111
133,6014019,117,4124
134,2058015,117,4181
135,2025085,110,4111
136,2024085,102,4109
137,1081110,117,4181
138,4067011,116,5216
139,2043260,104,4109
140,6122099,106,4110
141,2045258,114,4110
142,6077170,101,4110
143,6041046,110,4111
144,6118237,109,4110
145,6101110,113,4114
146,6037229,101,4110
147,6100167,114,4110
148,2065174,102,4125
149,3005138,117,4124
150,3003445,117,4114
151,2073349,102,4109
152,1041239,110,4111
153,6039318,114,4110
